FechaProgramacion,Fabrica,Seccion,Linea,Equipo,TiempoPNP
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP RODILLO PALETAS,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TABLERO AUTOMATISMO EMBAL-ETIQ,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,PALETIZADOR WALLON,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,CODIFICADOR DE ENVASE LLENO,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,CERRADORA,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP SALIDA EMBALADORA,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP CABLE ELEVADO ENFRIADOR,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TABLERO AUTOMATISMO LLEN-CERRADORA,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TABLERO AUTOMATISMO ESTERILIZADOR,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,SOPLADOR DE ENVASES ENFRIADOR,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,ROBOT PALETIZADOR KUKA,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,ETIQUETADORA,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,ESPIRAL INGRESO ETIQUETADORA,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,ENGOMADORA - PRENSA,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,ENFRIADOR,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,EMBALADORA NON SHOCK,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,ELEVADOR SALIDA CERRADORA,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,ELEVADOR PALETAS,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,VAC TRAC ENFRIADOR,234
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP SALIDA EMBALADORA,234
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP RODILLO PALETAS,234
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP MASS CONVEYOR,234
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP CABLE ELEVADO ENFRIADOR,234
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP ALIMENTADOR ENVASES VACIO,234
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TABLERO AUTOMATISMO LLEN-CERRADORA,234
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,PALETIZADOR WALLON,234
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,LLENADORA,234
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,Llenado Y Embalado / Baby 4 - FLE,234
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP SALIDA ENFRIADOR,234
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP ALIMENT CAJAS A PALETIZ,234
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,SOPLADOR DE ENVASES LLENADORA,234
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,ELEVADOR SALIDA PALETIZADOR WALLON,234
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,CODIFICADOR DE CAJAS MARSH,234
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,TABLERO AUTOMATISMO EMBAL-ETIQ,234
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,SOPLADOR DE ENVASES ENFRIADOR,234
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,ENGOMADORA - PRENSA,234
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,ENFRIADOR,234
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,ELEVADOR SALIDA CERRADORA,234
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,ELEVADOR PALETAS,234
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,CODIFICADOR DE ENVASE LLENO,234
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,CERRADORA,234
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,BBA DE RECUPERO LLENADORA,234
21/12/2019,Envases,Envasado Evaporada,Linea Baby 4,VAC TRAC ENFRIADOR,294
